"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"1","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","2_PI","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","0","2_M","No","No","E","TP","2_700-999","3","Si","Si","5","5","1","4","4","4","No","1_S","3_PsH","Si"
"2","M","1_<30","E","CCSS","PuP","No","E","E","5_B","E","4_S","Si","No","L","Si","No","No","No","No","No","No","No","No","0","1","2_M","No","No","E","TT","1_<700","2","Si","Si","4","5","2","1","4","3","No","1_S","4_PcH","Si"
"3","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","3_PC","No","No","L","Si","No","No","No","No","No","No","No","No","0","1","2_M","No","No","D","D","0_D","0","D","D","0","0","0","0","0","0","D","1_S","4_PcH","No"
"4","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","3_PC","Si","No","L","Si","No","No","No","No","No","No","No","No","0","2","2_M","No","No","E","P","1_<700","2","Si","Si","3","5","2","5","5","5","No","1_S","4_PcH","Si"
"5","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","4_S","Si","No","L","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","Si","No","E","TP","2_700-999","3","Si","No","3","5","1","1","5","5","Si","1_S","3_PsH","No"
"6","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","Si","No","L","Si","Si","No","No","No","No","No","No","No","0","2","2_M","No","No","I","D","0_D","0","D","D","0","0","0","0","0","0","D","1_S","4_PcH","No"
"7","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","5_B","Si","No","L","No","No","No","Si","No","No","No","No","Si","0","2","2_M","Si","Si","E","TT","3_1000-1499","7","No","No","1","1","5","3","4","3","Si","1_S","4_PcH","No"
"8","M","1_<30","E","CCSS","PuP","No","E","E","2_PI","E","2_PI","Si","No","L","Si","Si","Si","No","No","No","No","No","Si","1","0","2_M","No","No","E","TT","4_1500-1999","3","Si","Si","4","5","3","3","4","4","Si","1_S","5_Otr","Si"
"9","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","No","L","Si","Si","Si","No","No","No","No","No","Si","2","1","2_M","No","No","D","D","0_D","0","D","D","0","0","0","0","0","0","D","1_S","1_UNI","No"
"10","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","2_PI","Si","Si","P","Si","Si","Si","No","No","No","No","No","Si","1","2","2_M","No","No","E","TP","3_1000-1499","3","Si","Si","5","5","5","4","5","5","No","2_C","3_PsH","Si"
